,巡讥N腹,学Qo瘭~,鸦~,~壮贪基,~壮抬C基,p0,p1,p2
0,8077,2012,2012,3.90,1.20,2.25,6.56,53.58
1,8077,2013,2013,9.07,1.45,5.26,44.17,44.52
2,8077,2014,2014,65.50,4.78,12.70,12.81,10.21
3,8077,2015,2015,66.00,45.00,0.47,0.19,-0.34
4,8077,2016,2016,53.60,21.30,1.52,0.40,0.12
5,8077,2017,2017,29.75,20.60,0.44,0.16,-0.01
6,8077,2018,2018,23.80,17.00,0.40,0.20,-0.12
7,8077,2019,2019,20.40,13.45,0.52,0.11,0.12
8,8077,2020,2020,14.95,7.31,1.05,1.07,0.98
9,8077,2021,2021,15.10,8.46,0.78,0.71,
10,8077,2022,2022,14.50,8.20,0.77,,
