股利發放期間,股利所屬期間,股利政策,現金殖利率
股東股利 (元/股),填息花費日數,填權花費日數
現金股利,股票股利,股利合計,股價年度,除息前,年均價,成交價,最高價,最低價
盈餘,公積,合計,盈餘,公積,合計,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2026,-,19,0,19,0,0,0,19,-,-,2026,-,1.2(年化),1918,1.32(年化),2265,1.12(年化),2345,1.08(年化),1545,1.64(年化)
∟未定,26Q1,7,0,7,0,0,0,7,-,-,∟,2265,0.31,-,0.36,-,0.31,-,0.3,-,0.45
∟未定,25Q4,6,0,6,0,0,0,6,-,-,∟,2265,0.26,-,0.31,-,0.26,-,0.26,-,0.39
∟3/17,25Q3,6,0,6,0,0,0,6,1,-,∟,1845,0.33,-,0.31,-,0.26,-,0.26,-,0.39
2025,-,19,0,19,0,0,0,19,-,-,2025,-,1.62,1163,1.63,1550,1.23,1550,1.23,780,2.44
∟12/11,25Q2,5,0,5,0,0,0,5,1,-,∟,1505,0.33,-,0.43,-,0.32,-,0.32,-,0.64
∟9/16,25Q1,5,0,5,0,0,0,5,1,-,∟,1255,0.4,-,0.43,-,0.32,-,0.32,-,0.64
∟6/12,24Q4,4.5,0,4.5,0,0,0,4.5,10,-,∟,1065,0.42,-,0.39,-,0.29,-,0.29,-,0.58
∟3/18,24Q3,4.5,0,4.5,0,0,0,4.5,1,-,∟,970,0.46,-,0.39,-,0.29,-,0.29,-,0.58
2024,-,15,0,15,0,0,0,15,-,-,2024,-,1.68,889,1.69,1075,1.4,1100,1.36,574,2.61
∟12/12,24Q2,4,0,4,0,0,0,4,1,-,∟,1045,0.38,-,0.45,-,0.37,-,0.36,-,0.7
∟9/12,24Q1,4,0,4,0,0,0,4,1,-,∟,901,0.44,-,0.45,-,0.37,-,0.36,-,0.7
∟6/13,23Q4,3.5,0,3.5,0,0,0,3.5,1,-,∟,909,0.39,-,0.39,-,0.33,-,0.32,-,0.61
∟3/18,23Q3,3.5,0,3.5,0,0,0,3.5,1,-,∟,753,0.46,-,0.39,-,0.33,-,0.32,-,0.61
2023,-,11.5,0,11.5,0,0,0,11.5,-,-,2023,-,2.08,543,2.12,593,1.94,594,1.94,443,2.6
∟12/14,23Q2,3,0,3,0,0,0,3,1,-,∟,577,0.52,-,0.55,-,0.51,-,0.51,-,0.68
∟9/14,23Q1,3,0,3,0,0,0,3,1,-,∟,541,0.55,-,0.55,-,0.51,-,0.51,-,0.68
∟6/15,22Q4,2.75,0,2.75,0,0,0,2.75,1,-,∟,590,0.47,-,0.51,-,0.46,-,0.46,-,0.62
∟3/16,22Q3,2.75,0,2.75,0,0,0,2.75,2,-,∟,511,0.54,-,0.51,-,0.46,-,0.46,-,0.62
股利發放期間,股利所屬期間,股利政策,現金殖利率
股東股利 (元/股),填息花費日數,填權花費日數
現金股利,股票股利,股利合計,股價年度,除息前,年均價,成交價,最高價,最低價
盈餘,公積,合計,盈餘,公積,合計,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2022,-,11,0,11,0,0,0,11,-,-,2022,-,2.18,516,2.13,448.5,2.45,688,1.6,370,2.97
∟12/15,22Q2,2.75,0,2.75,0,0,0,2.75,1,-,∟,480.5,0.57,-,0.53,-,0.61,-,0.4,-,0.74
∟9/15,22Q1,2.75,0,2.75,0,0,0,2.75,1,-,∟,480,0.57,-,0.53,-,0.61,-,0.4,-,0.74
∟6/16,21Q4,2.75,0,2.75,0,0,0,2.75,1,-,∟,509,0.54,-,0.53,-,0.61,-,0.4,-,0.74
∟3/16,21Q3,2.75,0,2.75,0,0,0,2.75,1,-,∟,558,0.49,-,0.53,-,0.61,-,0.4,-,0.74
2021,-,10.5,0,10.5,0,0,0,10.5,-,-,2021,-,1.73,598,1.76,615,1.71,679,1.55,518,2.03
∟12/16,21Q2,2.75,0,2.75,0,0,0,2.75,1,-,∟,600,0.46,-,0.46,-,0.45,-,0.41,-,0.53
∟9/16,21Q1,2.75,0,2.75,0,0,0,2.75,1,-,∟,607,0.45,-,0.46,-,0.45,-,0.41,-,0.53
∟6/17,20Q4,2.5,0,2.5,0,0,0,2.5,1,-,∟,605,0.41,-,0.42,-,0.41,-,0.37,-,0.48
∟3/17,20Q3,2.5,0,2.5,0,0,0,2.5,13,-,∟,613,0.41,-,0.42,-,0.41,-,0.37,-,0.48
2020,-,10,0,10,0,0,0,10,-,-,2020,-,2.79,379,2.64,530,1.89,530,1.89,235.5,4.25
∟12/17,20Q2,2.5,0,2.5,0,0,0,2.5,1,-,∟,512,0.49,-,0.66,-,0.47,-,0.47,-,1.06
∟9/17,20Q1,2.5,0,2.5,0,0,0,2.5,15,-,∟,458,0.55,-,0.66,-,0.47,-,0.47,-,1.06
∟6/18,19Q4,2.5,0,2.5,0,0,0,2.5,1,-,∟,315,0.79,-,0.66,-,0.47,-,0.47,-,1.06
∟3/19,19Q3,2.5,0,2.5,0,0,0,2.5,2,-,∟,260,0.96,-,0.66,-,0.47,-,0.47,-,1.06
2019,-,12.5,0,12.5,0,0,0,12.5,-,-,2019,-,4.69,262,4.78,331,3.78,345,3.62,206.5,6.05
∟12/19,19Q2,2.5,0,2.5,0,0,0,2.5,11,-,∟,344.5,0.73,-,0.96,-,0.76,-,0.72,-,1.21
∟9/19,19Q1,2,0,2,0,0,0,2,1,-,∟,267,0.75,-,0.76,-,0.6,-,0.58,-,0.97
∟6/24,2018,8,0,8,0,0,0,8,6,-,∟,248.5,3.22,-,3.06,-,2.42,-,2.32,-,3.87
股利發放期間,股利所屬期間,股利政策,現金殖利率
股東股利 (元/股),填息花費日數,填權花費日數
現金股利,股票股利,股利合計,股價年度,除息前,年均價,成交價,最高價,最低價
盈餘,公積,合計,盈餘,公積,合計,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2018,2017,8,0,8,0,0,0,8,20,-,2018,227.5,3.52,237,3.37,225.5,3.55,268,2.99,210,3.81
2017,2016,7,0,7,0,0,0,7,32,-,2017,217,3.23,210,3.33,229.5,3.05,245,2.86,179,3.91
2016,2015,6,0,6,0,0,0,6,3,-,2016,159,3.77,166,3.61,181.5,3.31,193,3.11,130.5,4.6
2015,2014,4.5,0,4.5,0,0,0,4.5,154,-,2015,146,3.08,140,3.22,143,3.15,155,2.9,112.5,4
2014,2013,3,0,3,0,0,0,3,90,-,2014,136.5,2.2,123,2.45,141,2.13,142,2.11,100.5,2.98
2013,2012,3,0,3,0,0,0,3,8,-,2013,110,2.73,104,2.88,105.5,2.84,116.5,2.57,92.9,3.23
2012,2011,2.999,0,2.999,0,0,0,2.999,49,-,2012,84.2,3.56,84.1,3.57,97,3.09,99.4,3.02,73.8,4.06
2011,2010,3,0,3,0,0,0,3,3,-,2011,72.5,4.14,72.1,4.16,75.8,3.96,78.3,3.83,62.2,4.82
2010,2009,3,0,3,0,0,0,3,11,-,2010,61.4,4.89,62,4.84,71,4.22,75,4,57,5.26
2009,2008,3,0,3,0.02,0.03,0.05,3.05,7,7,2009,55.8,5.38,55.5,5.41,64.5,4.65,65.2,4.6,38.7,7.75
2008,2007,3.025,0,3.025,0.02,0.03,0.05,3.075,3,3,2008,57.6,5.25,56.4,5.36,44.4,6.81,69.8,4.33,36.4,8.31
2007,2006,3,0,3,0.02,0.03,0.05,3.049,8,8,2007,69,4.35,65.5,4.58,62,4.84,73.1,4.1,57.4,5.23
2006,2005,2.499,0,2.499,0.15,0.15,0.3,2.799,43,43,2006,59.4,4.21,61.3,4.07,67.5,3.7,70,3.57,52.3,4.78
2005,2004,2,0,2,0.5,0,0.5,2.5,112,112,2005,58.1,3.44,54.1,3.7,62.5,3.2,64.3,3.11,46.2,4.33
2004,2003,0.604,0,0.604,1.409,0,1.409,2.012,109,109,2004,50.5,1.2,52.4,1.15,50.5,1.2,68.5,0.88,40.7,1.48
2003,2002,0,0,0,0.8,0,0.8,0.8,-,2,2003,-,0,56.4,0,63.5,0,72.5,0,40.1,0
股利發放期間,股利所屬期間,股利政策,現金殖利率
股東股利 (元/股),填息花費日數,填權花費日數
現金股利,股票股利,股利合計,股價年度,除息前,年均價,成交價,最高價,最低價
盈餘,公積,合計,盈餘,公積,合計,價格,利率,價格,利率,價格,利率,價格,利率,價格,利率
2002,2001,0,0,0,1,0,1,1,-,"2,141",2002,-,0,67.4,0,42.6,0,97.5,0,34.9,0
2001,2000,0,0,0,4,0,4,4,-,112,2001,-,0,77.7,0,87.5,0,105.5,0,43.6,0
2000,1999,0,0,0,2.555,0.245,2.8,2.8,-,"4,062",2000,-,0,146,0,78.5,0,222,0,74.5,0
1999,1998,0,0,0,2.3,0,2.3,2.3,-,60,1999,-,0,120,0,167,0,171,0,68,0
1998,1997,0,0,0,4.5,0,4.5,4.5,-,203,1998,-,0,101,0,71,0,173,0,56.5,0
1997,1996,0,0,0,5,0,5,5,-,25,1997,-,0,109,0,112,0,173,0,55.5,0
1996,1995,0,0,0,8,0,8,8,-,292,1996,-,0,63.8,0,56.5,0,106,0,49.1,0
1995,1994,0,0,0,8,0,8,8,-,"1,282",1995,-,0,128,0,85,0,196,0,77,0
1994,1993,1,0,1,2.48,0,2.48,3.48,-,-,1994,159,0.63,159,0.63,157,0.64,177,0.56,96,1.04
1993,1992,0,0,0,1.04,0,1.04,1.04,-,-,1993,-,-,-,-,-,-,-,-,-,-
1992,1991,0.1,0,0.1,0.4,0,0.4,0.5,-,-,1992,-,-,-,-,-,-,-,-,-,-
累計,,164.2,0,164.2,42.19,0.485,42.68,206.9,,,,,,,,,,,,,
